F_kVcm,E0_meV,E1_meV,DeltaE10_meV,zbar_nm,Pin0_localization,Pin1_localization
-200.0,-1248.2330015650084,-1303.5702972341073,-55.33729566909868,75.03489346332269,3.975548012803547e-40,8.335305417702262e-42
-195.0,-1210.7688426087434,-1265.1832024948508,-54.41435988610747,74.8205386291349,1.3739869800401354e-39,3.454497440622362e-41
-190.0,-1173.4137031294601,-1226.8970916440903,-53.483388514630015,74.5987413654398,6.82479430349188e-39,1.7232826421765822e-40
-185.0,-1136.1714189067907,-1188.7155182411068,-52.54409933431624,74.36903670172215,3.86989290982193e-39,1.1939440887741684e-40
-180.0,-1099.0460686663575,-1150.6422609247415,-51.59619225838414,74.13091701330966,1.302128992941473e-38,3.836817775220451e-40
-175.0,-1062.0419966836803,-1112.6813443553804,-50.63934767170015,73.88382678987719,3.393559911337315e-38,1.122825410751458e-39
-170.0,-1025.163838201226,-1074.8370627633085,-49.673224562082446,73.6271565911566,2.538009306629443e-38,9.159397504642765e-40
-165.0,-988.4165481023291,-1037.1140065144905,-48.697458412161225,73.36023603537852,1.801252111634796e-38,6.378383516233715e-40
-160.0,-951.8054333713442,-999.5170921842636,-47.7116588129193,73.08232563094079,4.58918089934471e-38,1.5033819195801058e-39
-155.0,-915.3361899747599,-962.0515967270481,-46.7154067522882,72.79260721739298,1.017290431117988e-37,4.9616460076248124e-39
-150.0,-879.0149449287185,-924.7231964511509,-45.70825152243239,72.4901727253229,1.0500613423894027e-37,6.107055546855435e-39
-145.0,-842.8483044806741,-887.5380116583409,-44.68970717766677,72.17401089200223,1.5945231802654284e-37,1.0745544710220715e-38
-140.0,-806.8434095372409,-850.5026579969522,-43.65924845971126,71.84299147571652,4.810674569725526e-37,2.1049049234171205e-38
-135.0,-771.0079997279797,-813.6243058161165,-42.61630608813679,71.49584638892273,5.8086062222631e-36,1.2695893207678213e-37
-130.0,-735.3504878233418,-776.9107491131316,-41.56026128978984,71.13114700888843,5.575941660496203e-35,8.064997185994441e-38
-125.0,-699.8800466467686,-740.3704860566116,-40.49043940984296,70.7472767097044,7.0489881115559635e-34,6.121439773422837e-37
-120.0,-664.6067111674791,-704.0128135745072,-39.40610240702806,70.3423973712181,1.081343132344138e-32,1.6938543135988963e-35
-115.0,-629.5414991754493,-667.8479391585342,-38.30643998308493,69.9144082291198,1.5294654557322902e-31,2.0298613195003856e-34
-110.0,-594.6965548851858,-631.8871139121694,-37.19055902698364,69.46089489283675,2.299090060935545e-30,3.030695186602343e-33
-105.0,-560.0853210780041,-596.1427920396045,-36.05747096160039,68.9790656101824,3.6629017500463744e-29,5.445585774872711e-32
-100.0,-525.7227471012488,-560.628823556259,-34.90607645501005,68.46567080333865,6.086808336168849e-28,1.001825381826732e-30
-95.0,-491.62554238498257,-525.3606891714842,-33.73514678650158,67.91690039120395,1.052975104499867e-26,1.9253921996137842e-29
-90.0,-457.8124883933926,-490.355789311311,-32.54330091791846,67.32825121681701,1.9292817689561442e-25,3.9368939133730262e-28
-85.0,-424.30482652759747,-455.63380351072755,-31.32897698313003,66.69435364470563,3.735371809986307e-24,8.496847428590651e-27
-80.0,-391.1267461071735,-421.21714252971026,-30.090396422536752,66.0087414765671,7.717613499116579e-23,1.9690477761336884e-25
-75.0,-358.30600624106,-387.1315245190215,-28.82551827796147,65.26354174056867,1.742952119104372e-21,5.1027506912191995e-24
-70.0,-325.87473988971175,-353.4067199882151,-27.531980098503357,64.44904889329973,7.589850110501241e-20,1.3613888407942433e-22
-65.0,-312.2390008581192,-320.0775309067327,-7.8385300486135,-3.403122436200964,0.9273060441029516,1.7657207417515757e-20
-60.0,-313.9427120008919,-287.18510167224895,26.757610328642997,-3.4117179258104096,0.9267409239874096,1.3770076455869633e-19
-55.0,-315.65071463612054,-254.77871229397536,60.87200234214522,-3.4202885280014677,0.9261721405009384,3.656315481364464e-18
-50.0,-317.36299650177733,-222.9182926380447,94.44470386373264,-3.428834967027159,0.9255996604820236,1.2726037203591584e-16
-45.0,-319.079545694399,-191.6780516774987,127.4014940169002,-3.4373579530992378,0.9250234490033145,4.9479268233489864e-15
-40.0,-320.8003506624326,-161.15190095319886,159.64844970923377,-3.445858184122719,0.9244434693992212,2.1164687382573208e-13
-35.0,-322.5254002005945,-131.4619073825083,191.06349281808622,-3.454336347278003,0.9238596832820369,9.89333550085776e-12
-30.0,-324.25468344476786,-102.77217276692969,221.48251067783823,-3.4627931204811717,0.9232720505476978,4.98223592001023e-10
-25.0,-325.98818986779077,-75.31315954468555,250.67503032310523,-3.4712291737411767,0.9226805293723742,2.6027875969054085e-08
-20.0,-327.7259092757802,-49.42638815714003,278.2995211186402,-3.4796451704335487,0.9220850762005529,1.2701904570380376e-06
-15.0,-329.4678318051323,-25.584636340612413,303.8831954645199,-3.4880417685066547,0.921485645725247,4.188233960801763e-05
-10.0,-331.2139479201424,-3.446348289036181,327.76759963110624,-3.496419621631423,0.9208821908607929,0.00045723818735162624
-5.0,-332.9642484110428,14.56162879008475,347.5258772011275,-3.504779380309227,0.9202746627084349,0.008727361646938693
0.0,-334.7187243927843,12.457699597021675,347.176423989806,-3.5131216929461684,0.9196630105149899,0.0046484742869990665
5.0,-336.4773673042108,9.805937255627413,346.2833045598382,-3.521447206903708,0.9190471816246112,0.006761676270951842
10.0,-338.2401689077776,-3.5411975384459913,334.6989713693316,-3.529756569535035,0.9184271214235975,0.003270867321049732
15.0,-340.00712128990347,-25.58969972373433,314.41742156616914,-3.5380504292130723,0.9178027732783097,0.00027004196991536243
20.0,-341.7782168615708,-49.4264011045561,292.3518157570146,-3.546329436362244,0.9171740784657088,7.693630154178374e-06
25.0,-343.5534483597425,-75.31315625630532,268.24029210343724,-3.5545942444962626,0.9165409760966188,1.5727941613946476e-07
30.0,-345.3328088491432,-102.77217262014243,242.56063622900075,-3.562845511273703,0.9159034030310484,3.1933075141567566e-09
35.0,-347.11629172457015,-131.46190737750348,215.6543843470667,-3.571083899578103,0.9152612937852594,7.187820441129907e-11
40.0,-348.90389071381327,-161.15190095303205,187.7519897607812,-3.579310078629163,0.9146145804300739,1.876599323155387e-12
45.0,-350.69559988106073,-191.6780516774935,159.01754820356726,-3.587524725135985,0.9139631924796378,5.825193020900746e-14
50.0,-352.4914136310302,-222.91829263804217,129.573120992988,-3.595728524500794,0.9133070567700288,2.1989085105697184e-15
55.0,-354.29132671352994,-254.77871229397653,99.51261441955334,-3.6039221720822923,0.9126460973266607,1.046434103312109e-16
60.0,-356.0953342288527,-287.1851016722475,68.9102325566052,-3.6121063745314665,0.911980235219553,6.809014420303387e-18
